name,temperature,luminosity,spectral_type,distance,magnitude
"HD 506003",3492,0.000162,"M6V",924.5,21.45
"HD 548355",3257,0.000164,"M3V",992.2,21.62
"HD 123930",10186,0.02849,"B3V",768.8,15.59
"HD 770829",23838,153.312447,"B9III",151.1,2.63
"WD 5282+356",14836,0.000058,"DA3",474.8,21.22
"HIP 10540",3312,142.233353,"M0III",800.4,6.49
"HD 888618",25129,292.580584,"B3III",202.6,2.64
"WD 7345+246",9484,0.000264,"DA5",291,18.55
"HD 850049",24859,896.500214,"B7III",360.2,2.7
"HD 769804",2901,0.000182,"M2V",694.4,20.76
"HD 908265",18723,5.450184,"B1V",779.4,9.88
"HIP 84453",4024,192.78002,"K7III",580.9,5.27
"HD 900316",3455,0.00015,"M0V",829,21.45
"HD 658600",6516,0.002279,"F5V",955.7,18.78
"HD 479873",5949,0.001089,"G1V",441.6,17.8
"HIP 47412",4874,233.335715,"K0III",570.2,5.08
"HD 616443",15092,0.740113,"B8V",768.7,12.09
"HIP 34237",4332,187.927904,"K7III",392.2,4.73
"HD 286460",32212,51483.973399,"O1Ib",757.2,-0.11
"HD 358562",20569,17.760714,"B4IV",513.1,7.66
"HD 442508",3853,0.00078,"K1V",742.1,19.47
"HD 719619",2585,0.000159,"M2V",856.6,21.4
"HIP 70809",4726,250.65262,"K1III",853.6,5.74
"HD 453795",29068,7186.996785,"B0III",835.6,2.32
"HD 846778",17407,2.38816,"B0V",536.9,9.86
"HD 991644",19045,14.840059,"B9IV",733.1,8.77
"HD 819842",4567,0.000365,"K3V",961.3,20.58
"HD 653416",8730,0.008486,"DA5",779.2,16.69
"HD 319351",29662,30482.234596,"B1Ia",51.5,-3
"HIP 58071",4948,198.913465,"K9III",199.7,2.89
"HD 312936",28440,1903.955874,"B5III",161.8,0.14
"TYC 8743-820-1",4898,61307.951892,"K8Ia",394,-1.63
"HD 328990",20947,29.389696,"B2IV",503.7,7.16
"HD 138558",18621,2.779042,"B0V",895.8,10.75
"HD 524871",2534,0.000113,"M4V",826.4,21.66
"HD 296990",10294,0.017531,"B8V",472.1,15.07
"HD 933933",15866,0.402142,"B1V",588,12.04
"HD 932655",4872,0.000271,"K9V",479.1,19.58
"HD 764868",7718,0.005855,"A1V",755.8,17.24
"HD 885667",13313,0.135745,"B2V",662.6,13.41
"HD 706808",3223,0.00012,"M5V",717.5,21.23
"HD 495237",15704,0.852953,"B6V",718.9,11.64
"HD 733926",26467,1606.926852,"B6III",627.4,3.2
"HD 702857",8029,0.004409,"DA6",484,16.77
"HD 803137",30876,15285.791999,"O7Ib",770.9,1.3
"HD 550949",13648,0.104121,"B9V",796.1,14.26
"HD 504609",33748,50498.953251,"O0Ia",723.2,-0.03
"HD 108565",3848,0.000167,"K4V",848.6,21.43
"HD 965605",5867,0.000472,"G7V",423.7,18.57
"HD 105479",21457,31.005654,"B7IV",981.6,8.56
"HD 926204",2809,0.000128,"M5V",766.1,21.65
"HD 927604",16465,1.362247,"B6V",975.2,11.86
"WD 8734+951",18684,0.000148,"DA2",602.9,20.73
"WD 5454+100",6661,0.003039,"F5V",681.5,17.73
"HD 244883",30609,24197.367353,"O0Ia",851.8,0.86
"HD 631224",2952,0.00008,"M7V",411.6,20.68
"HD 686566",6284,0.00074,"F4V",997.8,20.19
"HD 260092",8119,0.001634,"DA6",572.9,17.7
"HD 354549",6217,0.001465,"F4V",794.3,18.85
"HIP 60352",3971,218.636411,"K3III",478.7,4.9
"HD 905972",26308,406.048807,"B4III",865.5,5.5
"HD 550593",4760,0.001777,"K4V",386.9,17.09
"HD 403610",3574,0.000072,"M0V",689.3,21.82
"HD 716636",24573,226.709299,"B5III",776.9,5.7
"HIP 80687",3792,30.692564,"K2IV",366.1,6.54
"HD 165737",27088,761.583933,"B9III",931.6,4.87
"HD 154960",13862,0.355901,"B0V",825.5,13.02
"TYC 5783-914-1",20093,54009.818114,"B3Ib",821.2,0
"HIP 108686",4937,92.707527,"K1IV",595.3,6.38
"TYC 7336-267-1",22187,381435.793979,"B9Ia",344.3,-3
"HD 650060",2671,0.000083,"M4V",359.7,20.32
"HD 602955",4902,0.000954,"K2V",453.7,17.99
"HD 936250",7035,0.003107,"F8V",617.7,17.6
"HIP 104565",4798,265.616764,"K5III",984.2,6.07
"HD 449604",10936,0.017822,"B5V",411.4,14.66
"HD 417032",24034,475.48869,"B8III",327.7,3.26
"HIP 48371",3964,165.398353,"K2III",660.5,5.84
"HD 857709",3669,0.000087,"M8V",826.4,22
"HD 474914",10420,0.02127,"B8V",704.8,15.84
"HD 254647",18955,9.12792,"B4V",593.6,8.88
"HD 423837",29254,9119.04306,"B9III",936.6,2.24
"HD 445650",8977,0.007093,"DA5",744.8,16.84
"HD 932383",2831,0.000092,"M5V",895.9,22
"HD 375281",12470,0.122758,"B9V",987.8,14.5
"HD 783879",8208,0.002969,"DA6",336.4,16.37
"HD 979425",33431,65478.816728,"O0Ib",724.4,-0.4
"TYC 3752-927-1",11849,100734.066501,"B1Ia",411.9,-2.24
"WD 8979+620",11876,0.000697,"DA4",864.9,19.88
"HD 115847",27206,1347.563242,"B6III",682.7,3.64
"HIP 18860",4598,166.82397,"K6III",640.3,5.62
"HIP 5127",3125,429.208684,"M9III",965,5.51
"HD 807826",4540,0.000294,"K3V",676.3,20.22
"HIP 108592",3671,35.023207,"M5IV",858.1,8.14
"HIP 32215",3330,56.628466,"M0IV",758.4,7.1
"HD 116231",27900,10444.265944,"B5Ib",341.4,-0.25
"WD 9232+388",17620,0.001086,"DA2",999.8,19.55
"HD 206869",7241,0.001428,"F9V",746.2,18.67
"HD 453844",5284,0.000245,"G8V",969.4,21.17
"WD 4290+689",17827,0.000764,"DA2",985.4,19.9
"HD 917962",2720,0.00005,"M4V",849.2,22
"HD 473148",24204,167.524655,"B7III",817.1,6.32
"HD 793170",3971,0.000252,"K4V",744.4,20.55
"WD 3013+926",11342,0.000176,"DA4",593.7,20.52
"HD 669212",21591,28.066712,"B9IV",333.6,6.28
"HIP 41749",4509,190.755266,"K4III",972.3,6.44
"HIP 34073",4372,71.460809,"K3IV",871,7.17
"WD 4175+334",9598,0.000358,"DA5",426.5,19.01
"HD 588502",5097,0.00053,"K9V",554.9,18.98
"HD 498104",23169,116.162183,"B0III",937.3,6.93
"HD 986295",33384,103689.101587,"O0Ib",673.8,-0.92
"HD 206636",12086,0.111299,"B0V",709.3,13.96
"HD 387831",5838,0.000576,"G4V",981.2,20.4
"HD 859110",16619,1.894259,"B6V",664.4,10.46
"HD 956245",3295,0.000149,"M8V",645.3,20.96
"HD 295571",4015,0.000147,"K0V",894.5,21.61
"HD 898606",11428,0.061102,"B9V",811.3,14.82
"TYC 7240-147-1",22423,124868.825958,"B2Ia",690.9,-1.14
"HD 412676",33888,201985.974439,"O6Ia",522.2,-2.4
"HIP 49895",3031,43.228446,"M0IV",72.1,2.38
"HD 116891",7199,0.006178,"F3V",978.5,17.69
"HD 758993",16331,1.485565,"B6V",728.4,11.12
"WD 7059+278",10227,0.000678,"DA4",482.3,18.59
"HD 121919",25660,332.440434,"B4III",939.8,5.83
"HD 524761",10391,0.080451,"B3V",79.4,9.49
"HIP 24529",4079,36.587655,"K6IV",826.2,8.07
"TYC 9193-736-1",23629,15255.035241,"B7Ib",855.1,1.4
"WD 7528+979",7007,0.000238,"F8V",387.7,19.21
"HD 902593",2852,0.000195,"M9V",794.2,20.91
"HD 445962",14091,0.328967,"B6V",397.1,11.47
"HIP 47661",4313,87.550964,"K1IV",838.7,6.95
"HD 641969",4186,0.000438,"K8V",472.4,19.01
"HD 839434",15077,0.144051,"B9V",535.1,13.19
"HD 627970",15943,0.384242,"B2V",800,12.79
"HD 859158",12484,0.221324,"B6V",934.5,13.81
"HD 541082",8424,0.005348,"DA5",893.5,17.76
"HD 135973",21027,15.540634,"B4IV",596.1,8.22
"HD 298310",27460,1975.479629,"B3III",709.1,3.53
"HD 193658",2540,0.000086,"M6V",998.8,22
"WD 1205+550",6448,0.001699,"F9V",380,16.99
"HD 262339",4138,0.000239,"K1V",257.3,18.28
"HD 614120",5187,0.00042,"K9V",258.2,17.76
"HD 977681",2920,0.000108,"M7V",615.8,21.15
"HD 560077",20127,12.264466,"B6IV",953.7,9.38
"HIP 1047",4416,90.673618,"K8IV",694.8,6.62
"HD 452096",6387,0.001566,"F5V",731,18.39
"HD 738652",30177,11622.890117,"O0Ib",932.6,1.94
"HIP 2005",4152,416.070686,"K3III",711.3,5.01
"HD 291564",2839,0.00024,"M0V",425.6,19.47
"HIP 61160",3876,472.888596,"K6III",981.8,5.33
"HD 853715",2678,0.000098,"M6V",892.3,22
"HD 227427",11436,0.026176,"B4V",870,15.85
"HD 339916",15255,0.164298,"B4V",782.8,13.72
"HD 681767",2965,0.000055,"M4V",706.3,22
"HD 182073",3134,0.000221,"M3V",779.9,20.88
"HD 315090",34041,287312.703755,"O5Ib",943.8,-1.32
"HD 947380",25413,307.838119,"B3III",463.5,4.36
"WD 1959+975",14861,0.000549,"DA3",485.3,18.79
"HD 613807",8219,0.00724,"DA6",540.1,16.47
"HD 912587",20176,7.381707,"B2V",684.5,9.17
"HD 658959",8522,0.002827,"DA5",616.7,17.4
"HD 383660",29503,18006.712082,"B3Ib",493.3,0.02
"HD 257116",23155,61.710749,"B4IV",111.8,3.07
"HD 863116",15184,0.263253,"B1V",305.6,11.19
"HD 639155",2821,0.000193,"M3V",854.9,21.19
"WD 9315+400",6091,0.001168,"F4V",972.9,19.55
"HIP 51351",3840,317.184094,"K7III",497.5,4.62
"HD 769548",20274,9.060554,"B7V",575.9,8.72
"HD 142773",14947,0.405476,"B9V",777.8,12.71
"HD 492962",15943,0.977494,"B3V",447.8,10.67
"HD 308700",5317,0.000388,"G2V",874.5,20.45
"WD 8072+585",16846,0.00041,"DA2",955.9,20.82
"HD 851048",18491,4.038603,"B9V",753.3,9.91
"HD 372960",11667,0.069561,"B5V",299.7,12.59
"HD 625591",20883,54.343441,"B6IV",639.5,7.02
"HD 205789",4230,0.000412,"K3V",532.5,19.41
"HD 858617",9913,0.016713,"A3V",375.6,14.63
"HD 928801",17334,5.744544,"B0V",562.3,9.15
"HD 710362",11375,0.058609,"B4V",822.7,14.88
"HD 843202",10283,0.024368,"B2V",639.4,15.37
"HIP 74905",3000,69.571853,"M4IV",719.8,7.02
"HD 530389",11243,0.03822,"B1V",602.5,14.67
"HD 404003",30443,7669.199125,"O8III",688.1,1.72
"HD 957882",11674,0.107242,"B8V",799.9,14.27
"WD 6451+277",24850,0.001752,"DA2",977.1,18.96
"HD 195863",29709,14164.339617,"B6Ia",704.7,1.23
"WD 5155+503",12094,0.000435,"DA4",819.7,20.16
"HD 256948",7140,0.002259,"F8V",661.7,18.01
"HD 625051",22262,33.764063,"B0IV",673,7.72
"HD 295037",23854,99.873703,"B0IV",721.1,6.48
"HIP 6163",3699,95.082134,"M6IV",661.3,6.19
"TYC 6480-704-1",18683,31008.017979,"B3Ib",844.4,0.52
"HD 407827",3035,0.000222,"M3V",951.2,21.34
"HD 991188",13871,0.38606,"B5V",640.6,12.28
"HD 111355",7081,0.000678,"F2V",791.9,19.55
"HD 429311",8250,0.006859,"DA6",742.6,17
"HD 717610",4454,0.000138,"K6V",666.8,21.23
"WD 2540+235",24347,0.003169,"DA2",638.2,17.41
"WD 7509+139",13370,0.001378,"DA3",783.1,18.81
"HD 976787",2648,0.000125,"M8V",742.7,21.41
"HD 539560",5288,0.001291,"G0V",589.5,18.4
"HIP 90246",5161,36.807783,"K3IV",875.4,7.87
"HD 490705",10804,0.012354,"B4V",694.9,16.19
"TYC 9880-752-1",10787,35965.314346,"B4Ib",500.1,-0.54
"HD 839746",16306,1.072565,"B8V",829.2,11.62
"HD 286784",6274,0.000732,"F8V",704.6,19.28
"HD 606231",25687,236.807374,"B7III",711.5,5.59
"HD 127179",12489,0.156493,"B3V",717.8,13.45
"HD 208863",5571,0.000233,"G9V",984.4,21.34
"HD 596676",2919,0.000203,"M5V",868.2,21.23
"HD 878287",20014,6.14196,"B2V",998.9,10.37
"HD 203265",5490,0.000319,"G9V",422.4,19.13
"HD 853565",28310,1131.527056,"B3III",165.5,0.55
"HD 311737",28732,8767.491801,"B2III",546.5,0.96
"HD 714927",10937,0.021349,"B0V",840.1,16.21
"HD 828665",29604,12961.476948,"B8Ia",657.5,1.17
"HIP 89219",3477,171.583199,"M3III",540.7,5.34
"HD 864305",9085,0.004885,"DA5",818.9,17.77
"HIP 48132",4853,90.443459,"K7IV",774.9,6.87
"HD 256014",15036,0.321219,"B8V",912.2,13.23
"HD 650149",30191,12459.892509,"O9Ib",116.6,-2.63
"HD 895894",5047,0.000395,"K0V",717,19.86
"HD 788555",10412,0.019674,"B8V",793.1,16.19
"HD 819700",24148,527.683021,"B7III",944.4,5.27
"HIP 62368",3386,32.220612,"M5IV",719.1,7.84
"WD 5767+471",11602,0.000205,"DA4",282.4,18.85
"HD 245513",31703,74238.263323,"O6Ia",855.7,-0.28
"HD 699317",3896,0.000519,"K0V",68.4,14.65
"HIP 48362",4968,109.192226,"K1III",719.2,6.51
"HD 660264",2516,0.000044,"M5V",893.1,22
"HD 572909",9234,0.005047,"DA5",861.8,17.76
"HD 482643",19472,4.732809,"B2V",823.8,10.14
"HD 803158",32287,48789.931627,"O8Ia",978.4,0.5
"HIP 6173",3892,55.303424,"K2IV",835.1,7.48
"WD 6161+991",15959,0.000566,"DA3",836.2,20.13
"HIP 79324",4659,254.814176,"K5III",505.9,4.8
"HD 995138",15333,0.278822,"B4V",670.4,12.61
"HD 676797",12926,0.05609,"B8V",534.3,13.99
"HIP 73032",4428,238.442209,"K6III",922.9,6.07
"HIP 77660",3472,529.253131,"M2III",615.7,4.26
"HD 738764",3111,0.000087,"M3V",991.4,22
"HD 485823",8614,0.002044,"DA5",964.4,18.72
"HD 563194",4470,0.000309,"K9V",567.4,19.85
"TYC 3326-511-1",15764,88374.886432,"B0Ia",888,-0.28
"HD 570453",2839,0.000246,"M3V",956.9,21.15
"HD 885703",25984,623.417155,"B4III",825.7,4.7
"HD 502356",16583,0.650918,"B8V",544.1,11.45
"HD 652982",14854,0.534897,"B2V",568.5,11.79
"WD 5979+830",21954,0.00038,"DA2",529.3,19.57
"WD 9987+181",24713,0.001339,"DA2",864.1,19.22
"HIP 76564",4201,384.457997,"K7III",889.4,5.59
"HD 100217",32696,101833.636608,"O2Ia",895.6,-0.45
"HD 300481",14153,0.376282,"B8V",915,13.1
"HD 694634",13251,0.102846,"B6V",787.6,14.25
"HD 504845",25997,340.951999,"B9III",640,4.81
"HIP 63651",3754,122.045862,"K1III",953.1,6.81
"HD 260884",10629,0.052245,"B7V",241.6,12.44
"HD 754677",7528,0.006092,"A2V",905.5,17.56
"HD 177050",5486,0.000695,"G1V",891.5,19.92
"HD 195453",20454,28.238584,"B8IV",804.1,8.18
"HD 520054",22413,158.023177,"B1III",679.5,6
"HD 830832",4687,0.000157,"K0V",393.9,19.91
"HD 740910",7067,0.000946,"F3V",934.7,19.74
"HD 886225",3103,0.0004,"M0V",485.8,19.29
"HD 926275",28884,8854.792792,"B8III",668,1.45
"HD 768552",2522,0.000232,"M7V",188,17.61
"HD 500872",14667,0.279224,"B2V",995.7,13.64
"HD 768468",4956,0.000677,"K4V",502.7,18.83
"WD 3660+716",7781,0.00242,"A7V",878.8,18.45
"WD 6319+636",22938,0.002737,"DA2",944.3,18.49
"HD 878018",12322,0.030914,"B6V",492,14.51
"HD 629770",32916,40280.897159,"O8Ia",302.3,-1.84
"HIP 45531",3537,316.436475,"M7III",649.8,5.13
"HD 385886",7179,0.00366,"F6V",974.2,18.19
"WD 6712+165",21805,0.002553,"DA2",993.2,18.65
"HD 130376",15555,0.611073,"B3V",569,11.49
"HD 520112",4297,0.000386,"K3V",662.6,19.9
"HD 129748",6685,0.001342,"F6V",577,18.28
"WD 8603+508",15509,0.000242,"DA3",517.4,19.76
"HIP 114942",3459,526.431145,"M9III",535.9,4
"HIP 67374",4247,173.429669,"K3III",163.7,2.72
"HD 547640",33501,80216.184031,"O8Ib",961.2,-0.1
"WD 3587+358",6423,0.000778,"F5V",927.9,19.82
"HD 661677",27297,821.603379,"B2III",930.8,4.82
"HD 506945",4889,0.000435,"K5V",990.3,20.56
"HD 539312",6024,0.001585,"F4V",988.8,19.05
"HIP 3073",4458,670.320178,"K6III",517,3.77
"WD 2405+372",22659,0.000386,"DA2",480.2,19.35
"HIP 22515",3951,129.527472,"K0III",905.3,6.94
"HD 623229",18314,8.730818,"B5V",608,8.81
"HD 296938",24988,324.660976,"B0III",941.9,5.8
"HD 458768",2661,0.000123,"M6V",970,21.94
"HD 955667",20948,36.801641,"B5IV",520,7
"HD 698450",5047,0.000326,"K8V",693.9,20.06
"HD 975225",19127,3.989103,"B7V",698.6,9.98
"HD 556984",13321,0.1045,"B1V",504.4,13.19
"HD 190664",4063,0.000391,"K5V",679.5,19.99
"HD 746023",17453,2.659514,"B4V",920,10.98
"HIP 4398",3847,165.417535,"K3III",696.7,5.99
"WD 3102+532",17125,0.000737,"DA2",126.2,15.62
"HD 860403",12674,0.061771,"B3V",994.6,15.29
"WD 2333+277",22825,0.00186,"DA2",860.4,18.61
"HD 173542",4785,0.000223,"K6V",425.9,19.58
"HIP 78411",4232,135.217906,"K3III",613.1,5.81
"HIP 106869",4201,221.466574,"K7III",879.6,6.18
"TYC 2951-213-1",18010,60995.649242,"B6Ib",671.4,-0.75
"HIP 21163",4899,283.665978,"K9III",555.9,4.75
"HD 268773",22126,18.368056,"B4IV",631.5,8.09
"HD 764128",12278,0.041995,"B4V",976.7,15.68
"HD 602790",23722,214.91964,"B6III",600.4,5.39
"HD 387608",34615,702472.288906,"O2Ib",902.7,-2.51
"TYC 1768-249-1",21780,8412.700397,"B7III",879.8,2.36
"HD 824140",12942,0.069496,"B0V",563.1,13.97
"HIP 46628",4026,88.613395,"K5IV",879.9,7.01
"HD 405426",4513,0.00061,"K3V",840.1,20
"HD 862828",2567,0.000046,"M4V",861.4,22
"HD 945270",5181,0.000394,"K7V",308.9,18.36
"HD 551752",3537,0.000109,"M8V",255.6,19.15
"WD 4145+589",12145,0.00175,"DA4",582.7,18.03
"HD 385720",8390,0.002994,"DA6",797.2,18.02
"HD 113926",3059,0.000093,"M1V",485.1,20.7
"HD 980066",24183,60.017575,"B0IV",816.7,7.4
"HD 855134",4292,0.000322,"K6V",956.1,20.94
"WD 7573+516",8542,0.000128,"DA5",403.9,20.02
"WD 7618+640",17723,0.000266,"DA2",983.6,21.08
"HD 799622",14877,0.59945,"B6V",142.3,8.67
"HD 693611",10132,0.019643,"B7V",492.6,15.02
"HD 247652",5702,0.000624,"G3V",887.4,20.05
"HIP 6151",3498,291.786311,"M1III",227.2,2.94
"HD 859776",18807,6.658696,"B5V",779.5,9.61
"HD 644139",13522,0.27841,"B1V",728.1,13.21
"HD 669476",2773,0.000114,"M8V",104.4,17.34
"HD 745119",4123,0.00033,"K3V",874.3,20.51
"HD 848842",32348,55147.189449,"O8Ib",692.2,-0.53
"HD 788966",5634,0.000404,"G0V",625.2,19.87
"WD 2819+796",14834,0.001076,"DA3",870.9,19.23
"HD 893911",28680,3478.312541,"B6III",817.4,3.13
"HD 884473",4891,0.000462,"K6V",529.5,19.13
"HD 915240",10962,0.052499,"B4V",389,13.41
"HIP 4905",3875,341.571559,"K4III",636.3,4.96
"HD 212154",16612,3.472035,"B1V",437.9,9.21
"HD 841248",30552,10603.699936,"O0Ia",723.7,1.54
"HD 753827",32201,40337.619595,"O3Ia",895.2,0.57
"WD 8702+544",22085,0.00019,"DA2",274.1,18.63
"HD 690133",4544,0.000458,"K4V",466.1,18.87
"HD 403126",12864,0.082474,"B5V",512.1,13.66
"TYC 1229-784-1",21819,46805.414952,"B9Ib",681.8,-0.39
"HD 368718",22437,31.307822,"B0IV",618.7,7.43
"HD 370325",15485,0.658579,"B2V",589.2,11.57
"HD 116279",16534,1.197053,"B8V",876.3,11.83
"HD 764391",31682,16678.747227,"O9Ia",74.7,-3
"HD 341175",3108,0.000182,"M5V",919.8,21.4
"HD 515641",33429,106281.347478,"O2Ia",425.7,-2.22
"HD 250989",3823,0.000268,"K8V",565.3,19.93
"TYC 2793-640-1",20971,48474.418614,"B2Ia",567,-0.62
"HD 250624",2532,0.000528,"M7V",674.2,19.61
"HD 761201",3372,0.000098,"M8V",371.3,20.02
"HD 192757",10454,0.021957,"B4V",866.9,16.2
"HD 248686",34270,130381.98805,"O8Ib",625.3,-1.5
"HD 118029",30597,6010.677287,"O2III",444.7,1.21
"HD 177927",29694,4446.445273,"B0III",721,2.19
"HD 531668",17956,2.610413,"B1V",732.1,10.52
"HD 365074",7354,0.001954,"F4V",469.1,17.12
"WD 2522+687",6340,0.000162,"F7V",796.8,21.25
"HIP 51683",5352,125.289365,"G3III",611.1,5.95
"HD 421039",30150,7631.495206,"O0III",273,-0.14
"HD 716451",23036,99.793276,"B6IV",850.6,6.89
"HIP 102648",4513,446.375055,"K2III",534.5,4.21
"HD 710768",19322,6.273146,"B9V",515.2,8.7
"HD 168952",10430,0.018359,"B2V",328.9,14.19
"HD 156925",6369,0.000786,"F8V",857.3,19.72
"HD 431230",2739,0.000225,"M4V",442.6,19.44
"HD 243922",25481,508.809306,"B3III",635.2,4.57
"HD 976708",33314,57430.636251,"O6Ib",483,-1.43
"HD 875326",15337,0.426893,"B7V",966.2,13.01
"HD 420398",21325,27.611027,"B9IV",530.5,7.09
"HD 719093",4028,0.000265,"K9V",906.2,20.95
"HD 549991",30655,37516.365809,"O4Ia",882.9,0.44
"HD 633100",3556,0.000376,"M1V",898.6,20.56
"HIP 83131",3977,37.101828,"K0IV",820.1,7.74
"HD 117485",16761,1.85388,"B0V",521.5,10.2
"WD 3627+439",7361,0.001221,"F9V",896.1,19.37
"TYC 5854-841-1",12286,44018.147645,"B3Ib",193.4,-2.95
"HD 781750",6822,0.00373,"F0V",707.8,17.42
"HD 197417",6282,0.00158,"F5V",964.8,19
"HD 888375",10388,0.042351,"B9V",305.9,13.18
"HD 655157",28767,7799.106617,"B1III",557.2,1.19
"HD 136264",15302,1.848474,"B0V",659.1,10.71
"HD 611468",9322,0.026885,"A3V",360.7,14.08
"HD 665880",13532,0.316056,"B8V",902.8,13.48
"HD 717693",14330,0.305657,"B5V",406.8,11.6
"HD 594480",2642,0.000047,"M7V",837,22
"WD 3038+687",22828,0.000402,"DA2",968.1,20.78
"HD 942655",33380,149033.640229,"O3Ib",379.7,-2.69
"HD 412225",8708,0.003114,"DA5",980.3,18.64
"HD 248342",5826,0.001228,"G1V",940.7,19.58
"HD 883763",4796,0.000236,"K8V",950.3,21.18
"HD 247193",34376,246224.087176,"O6Ib",603.8,-2.27
"HD 909973",28704,1956.536537,"B8III",969.2,3.88
"HD 675897",3883,0.00043,"K1V",275.7,17.82
"HD 219118",31198,63397.626677,"O0Ib",802.3,-0.24
"HD 842711",5828,0.001408,"G1V",599.4,18.19
"HD 770135",20585,15.871656,"B2IV",800.8,8.84
"HD 584121",22212,72.498269,"B7IV",553.8,6.24
"HD 782287",4652,0.000503,"K9V",990.4,20.54
"HD 324975",33751,108052.943444,"O8Ib",943.7,-0.22
"HD 529725",5419,0.001287,"G6V",622.6,18.44
"HD 717967",2990,0.000089,"M1V",869.7,22
"HD 339790",21315,55.409873,"B3IV",521.8,6.69
"WD 7086+788",18619,0.000284,"DA2",605.8,19.96
"HD 808803",8415,0.003662,"DA5",957.7,18.28
"HD 228870",12897,0.077994,"B1V",562.8,13.75
"HD 298783",28601,3756.848139,"B1III",846,2.89
"HD 402181",18457,3.198416,"B3V",611.8,9.95
"HD 852310",34229,78805.457611,"O8Ia",843.6,-0.51
